id,ilgar_comp_id,company_name
1,CMP4BRBN8W168,BP PETROLLERİ A.Ş.
2,CMP4BRBN901GP,BRISA BRIDGESTONE
3,CMP584JK3M4149,BRİSA BRİDGESTONE SABANCI LASTİK SAN.VE TİC.A.Ş.
4,CMP026FJ5274SC1MH,COLAKOGLU METALURJI A.S.
5,CMP3W9BFRT1BH,DOĞUŞ OTOMOTİV SERVİS VE TİC.A.Ş
6,CMP7L9DHK8417W,DYSTAR KIMYA SANAYI VE TICARET LIMITED ŞIRKETI
7,CMP7M9HUSJS2HJ,ERK PAZARLAMA VE GİYİM SAN. TİC. AŞ
8,CMP427ES6J155,GENERAL ELEKTRİK TİC.VE SERVİS A.Ş.
9,CMP43FCJW515S,GÜZEL ENERJİ AKARYAKIT A.Ş.
10,CMP8JTJBD23100,HOTİÇ DERİ ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
11,CMP7WRJMMT313X,HİPP DIŞ TİCARET LİMİTED ŞİRKETİ
12,CMP4BRC1GH1AG,MAPA MOBİLYA VE AKSESUAR PAZ.A.S.
13,CMP4BRC29A1K8,MİCHELİN LASTİKLERİ TİCARET A.Ş.
14,CMPBHLFKRMD205,SIBUR İSTANBUL ULUSLARARASI TİCARET LİMİTED ŞİRKETİ
15,CMP-SOLGUM-NAK,SOLMAZ GÜMRÜK MÜŞAVİRLİĞİ A.Ş. - TAŞIMACILIK İSTANBUL ŞUBESİ
16,CMP-SOLNAK-IST,SOLMAZ ULUSLARARASI EKSPRES TAŞIMACILIK VE TİC.A.Ş
17,CMP42PEX5N1CC,SİKA YAPI KİMYASALLARI A.Ş
18,CMP8WGG9P12D2E1SA,TOTALENERGİES TURKEY PAZARLAMA  A.Ş.
19,CMP4BRC84N1BX,UNIFREE DUTY FREE İŞLETMECİLİĞİ A.Ş. - S.B.
20,CMP972GK0Z71FZ,UNIFREE DUTY FREE İŞLETMECİLİĞİ A.Ş.-TÜRKİYE
21,CMPAM40CCZ1114,CASTROL MADENI YAĞLAR TICARET ANONIM ŞIRKETI
22,CMP59BHUBJ1126,AGT AĞAÇ SAN. VE TİC. A.Ş.
23,CMP7PK9RYS510U,AGT DIŞ TİCARET A.Ş.
24,CMP4BRBN761T6,BOYNER BÜYÜK MAĞAZACILIK A.Ş.
25,CMPBHRFN781112,EGE FREN DIŞ TİCARET A.Ş.
26,CMP7JUHRH2W3TL,LC WAİKİKİ MAĞAZACILIK HİZMETLERİ TİC.A.Ş.
27,CMP504CBK0D2H1,ENERCON RÜZGAR ENERJİ SANTRALİ KURULUM HİZ.LTD.ŞTİ.
28,CMP963ARE8N37E,VİBRACOUSTİC ÇERKEZKÖY OTOMOTİV SANAYİ VE TİCARET ANONİM ŞİRKETİ
29,CMP79P8XCJ2149,VİBRACOUSTİC ÇERKEZKÖY OTO PARÇALARI DIŞ TİC.A.Ş.
30,CMP4BRBS8B1A1,ENERCON SERVİS LTD ŞTİ.
31,CMP55KHN5W18J,NETAŞ TELEKOMÜNİKASYON A.Ş.
32,CMP4BRC7SU1PZ,MENARİNİ İLAÇ SAN VE TİC. A.Ş.
33,CMP74LAB61111W,MENARİNİ SAĞLIK VE İLAÇ SANAYİ TİCARET A.Ş.
34,CMP3BCDRSA,TAS.HAL.GEDORE EL ALETLERİ SAN. VE TİC.LTD.ŞTİ.
35,CMP3P3CK511YF,EGE FREN SAN. VE TİC.AŞ.
36,CMP4BRC7UK1YT,MENARİNİ STEMLİNE İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ
37,CMPB9F9KSN1112,LC WAİKİKİ DIŞ TİCARET ANONİM ŞİRKETİ
38,CMP4H5CURA19Z,ADOPEN PLASTİK VE İNŞAAT SAN. AŞ.
39,CMP8WNHK9HP91M2TE,ECZACIBAŞI TÜKETİM ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
40,CMP7WYA43U112N,HIPP DIŞ TİCARET LTD.ŞTİ.-KARGO ALICILARI
41,CMP-SOLGUM-IZM,SOLMAZ GÜMRÜK MÜŞAVİRLİĞİ A.Ş.- İZMİR
45,CMP007E7418T7X31N,ENERCON RUEZGAR ENERJI SANTRALI KURULUM HIZMETLERI LTD. STI.
46,CMP963BMH71112,GUESS TURKEY PERAKENDE SAT.MAĞAZACILIK VE TİC.LTD.ŞTİ.
47,CMP-SOLDEN-IST,SOLMAZ DENİZCİLİK VE TİC.A.Ş
48,CMP8WP9TMSXEU113L,EEFZ DIŞ TİCARET A.Ş.
49,CMPA3CF9YR112P,ARMİNE GİYİM SAN.TİC.A.Ş-OPR
50,CMP47N0M7L1AE,BOSTİK KİMYA SANAYİ VE TİCARET A.Ş.
51,CMP4JFF4SK13X,DOĞUŞ OTOMOTİV SERVİS VE TİC. A.Ş.
52,CMPA6MBJ411112,İNTRA MEDİKAL GEREÇLER PAZ. LTD. ŞTİ.
53,CMP50CJJ795140,S LOJİSTİK HİZMETLER A.Ş.
54,CMP9CC0J5J4141,JOHNSON CONTROLS KLİMA VE SOĞUTMA SERVİS SAN.VE TİC.A.Ş. EGE SERBEST BÖLGE ŞUBESİ
55,CMP932CN5CA1XJ,AVIENT TURKEY RENKLENDIRICI VE KATKı MADDELERI SANAYI VE TICARET ANONIM ŞIRKETI
56,CMP4UUDT8S1GR,S SİSTEM LOJİSTİK HİZMETLER A.Ş
57,CMP8CSH4HP61JR,HOTİÇ AYAKKABI SAN. VE TİC. A.Ş.
58,CMP-ORCLOJ-IST,ORKA LOJİSTİK HİZMETLERİ LTD.ŞTİ.
59,CMP-SOLLOJ-IST,SOLMAZ LOJİSTİK HİZMETLER A.Ş.
60,CMP-LIFWAV-IST,LİFEWAVE DOĞRUDAN PAZARLAMA VE TİC.A.Ş.
61,CMP5B4H43JL1Y7,HEMPEL COATINGS SAN.VE TİC.LTD.STİ.
62,CMP4ADBK3T1H2,SHELL&TURCAS PETROL A.Ş.
63,CMP8WRFAN2UBAA188,APRO ALÜMİNYUM PROFİL SANAYİ VE TİCARET A.Ş.
64,CMP9PDG2HF01BW,NPI SIHHI TESISAT MALZEMELERI TICARET A.Ş.
65,CMP7TPJ1APD1C9,AKCAN JENERATÖR ELEKTRİK ELEKTRO.VE MAK.SAN TİC.LTD.ŞTİ
66,CMP0HZFBBD311U,SÜPERPAR OTOMOTİV SAN.VE TİC.A.Ş.
